job_title,company_name,location,time_posted,num_applicants,Seniority Level,Employment Type,Job Function,Industries,job_description
Network System Administrator,Nusenda Credit Union,"Albuquerque, NM",1 day ago,,Entry level,Full-time,Information Technology,Banking,"Nusenda Credit Union is dedicated to excellent member service, care for our community, and being a great place to work. We strive to make a positive difference in the lives of our members and the communities we serve to help them achieve their financial goals. Diversity, equity, and inclusion are part of our culture and values.As an employer of choice, we invest in people and their careers. Our competitive employee benefits include several health and wellness options, competitive 401(k) matching contributions, professional development, and tuition assistance and more!Thank you for your interest in joining the Nusenda team!We are currently seeking a Network System Administrator to join our organization. As a Network System Administrator, you will be responsible for managing, maintaining, and securing the Credit Union’s server, cloud, backup and user technologies to ensure the stable operation of the organization’s IT assets. You'll be responsible for overseeing server and desktop hardware and software, virtual server/desktop environment, storage area network, active directory, cloud technologies, server and file backups, and endpoint management. You'll maintain accurate documentation and assist in ongoing disaster recovery planning and testing. You'll work collaboratively with and support IS teams across the organization. Participate in on-call rotation to ensure critical issues are resolved in a timely manner.To thrive in this role, you should have three to five years of similar or related experience, and a Bachelor's degree in Information Technology or Computer Science. This position is one part research and one part internal customer service. This might be the role for you if you enjoy work requiring troubleshooting, technical support, and problem solving.Key Skills And ExperienceWide range of disparate hardware and software implementation and support.Ability to discuss technical issues effectively with other technology professionals as well as communicate complex concepts to non‑technical users. Logic and troubleshooting capabilities.Must be able to handle multiple responsibilities, meet deadlines, deal with sensitive information and handle problem resolution.Effectively communicate with internal and external customers appropriately via in person, email etc.Experience in multi-tasking, meeting strict deadlines, dealing with sensitive information, and problem resolution while providing exceptional service.Must be knowledgeable in cloud technologies, Microsoft networking technologies, Microsoft Office and all internal systems as affiliated with the department.Ability to adapt quickly to change and proactively communicate.Nusenda Credit Union is an equal opportunity employer. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Information Technology
            



              Industries
            

            Banking
            
















Referrals increase your chances of interviewing at Nusenda Credit Union by 2x

                See who you know"
Intern,Rosendin,"California, United States",28 minutes ago,,Internship,Full-time,Education and Training,Construction,"Whether you’re a recent grad or a seasoned professional, you can experience meaningful career growth at Rosendin. Enjoy a true sense of ownership as you work with a proven industry leader on some of the most exciting and high-profile projects in the nation. We offer a wide range of job opportunities, competitive compensation, full benefits, an Employee Stock Ownership Plan and more.Why Rosendin?Committed. Innovative. Engaged.Come build your experience with us!Rosendin’s Summer Internship Program is a hands-on training program designed to give you a well-rounded experience. You will work alongside passionate mentors solving real-world construction industry challenges in Construction Project Management, Engineering, Procurement, Estimating, Safety and Corporate roles.Our Summer Internship program is a 10-to-12-week paid opportunity. Your internship, at Rosendin, can be the perfect opportunity to expand your knowledge outside of the classroom and apply the concepts and theories of your major field of study. The hands-on real-world experiences that you encounter during our internship program enable you to develop your potential and make key contacts for future networking. Use your internship to determine your interest level in certain career fields, get feedback from professionals regarding your strengths and weaknesses, and to further your education and expand your resume.In mid-June, we invite all our Interns across the country, to spend a week at Rosendin’s Internship Week. Subject matter includes Construction Project Management, Estimating, Engineering, Safety, and more. We will visit live job sites and have team building events to make this a very valuable part of your overall internship experience.Things We Love To See In Our InternsA strong work ethicHolds oneself accountableHonestDriven and takes initiative to get the job doneCustomer focusedPossesses a team spirit and enjoys collaboratingDetail oriented and organizedStrong communication skillsAbout YouYou’re pursuing a degree that aligns with Rosendin’s needs:Construction ManagementEngineering (Architectural Engineering, Electrical, Civil and Construction)Renewable EnergyOccupational Health & SafetyProcurementFinance, Marketing, Accounting or any other related college or work-related experienceInternship BenefitsOn-the-job experience and training in your specific roleOpportunity to work with some of the brightest and most talented people in the industryPaid internshipPotential full-time employment opportunities in any of our locationsA company that supports Diversity, Equity, and Inclusion.Internship Locations: San Jose-CA, Anaheim-CA, Sacramento-CA, Tempe/Phoenix, AZ, Las Vegas-NV, Portland-OR, Austin-TX, Dallas-TX, Temple-TX Sterling-VA, Hanover-MD, Charlotte-NC, Nashville-TN, Boise-ID, Aiea-HI and many more…Rosendin is one of the largest electrical contractors in the United States employing over 7,000 people. We are EMPLOYEE OWNED (ESOP) and have a wonderful reputation for building quality electrical and communications installations, building value for clients, and building people’s careers within the company.Rosendin is committed to creating a diverse environment and is proud to be an Equal Opportunity Employer. Employment decisions are considered regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.Pay Range$21.35-$28.00 HourlyThe pay range for this role is what we expect to pay for candidates that meet the specified qualifications and requirements listed on this job description. Candidate’s pay can vary based on location, job-related experience, skills, and education.Our success is rooted in our people. We all come together around long-term vision and a sense of shared ownership. As a group, we do whatever it takes to ensure the success of our business…and your career.Rosendin Electric is committed to creating a diverse environment and is proud to be an Equal Opportunity Employer. Employment decisions are considered regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Internship
          



            Employment type
          

            Full-time
          



              Job function
            

              Education and Training
            



              Industries
            

            Construction
            
















Referrals increase your chances of interviewing at Rosendin by 2x

                See who you know"
Hardware Testing Engineer Intern 2025,Pinnova,"Massachusetts, United States",1 hour ago,,Internship,Internship,Engineering and Information Technology,IT Services and IT Consulting,"Employment Type: InternshipCompensation: $20-26 / hrStart Date: SummerDepartment: Engineering Research & DevelopmentOur Test interns work with a team of engineers and industry professionals to develop and test hardware and firmware to optimize industrial operations. You will have the opportunity to be a significant contributor, while getting comprehensive exposure to the business structure and how we are helping our customers bring the Connected Enterprise to life. Responsibilities:Our test roles fall into 2 categories:Hardware Test: Develop test requirements and execute hardware verification test plans for board level functional testing, EMC validation, Certification Agency compliance (UL, ATEX, IECEX), and Functional Safety (IEC 61508). Perform programming, analysis, and troubleshooting of electronic hardware prototypes. Contribute to associated product design documentation and test reports.Firmware Test: if you like pushing products to their limits to meet the rigid standards of industrial components, you will be interested in these activities, which include: design and development of scripts for automating test procedures, documenting of test procedures, execution of test procedures for verification of product functionality (manual/automated), creation of test reports, assistance with lab audit/improvement activities, assist with build and commissioning of test firmware and hardware platforms.The Essentials - You Will Have:Active enrollment in a four year or advanced degree program at an accredited universityLegal authorization to work in the U.S. We will not sponsor individuals for employment visas, now or in the futureThe Preferred - You Might Also Have:Pursuing a bachelor's or advanced degree in Electrical Engineering ONLY from an accredited college or university.Basic knowledge of circuit theory and operation, including microprocessors, digital logic devices, analog and/or DC-power conversion, programmable devices (CPLDs, FPGAs)Experience with Power Electronics or motorsExperience with design capture tools,Be able to work with schematic drawingsFamiliarity with tools such as CAD, Creoparametic, ERP (Enterprise Resource Planning), 3D Modeling, SAP, MatlabExperience with industrial automation environments including PLC or drives programmingExperience using Agile methodologyWho We Are:We are an internationally recognized HR consultancy firm helping candidates match with the potential roles by using an Artificial Intelligence System which is free of cost. We are a global market leader who works with several top-tier companies, tech startups, freelancers, industry professionals, and subject matter experts for projects, internships, and jobs.Important: The successful application submission for the above role(s) will be conditional to your profile evaluation by our Recruitment Specialists using the AI system. We can let you know better once you submit your resume.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Internship
          



            Employment type
          

            Internship
          



              Job function
            

              Engineering and Information Technology
            



              Industries
            

            IT Services and IT Consulting
            
















Referrals increase your chances of interviewing at Pinnova by 2x

                See who you know"
Operations Business Associate - Experienced Graduates (Spring 2025 Start),Wayfair,"Boston, MA",1 day ago,,Associate,Full-time,Administrative,Retail,"This is a Boston based opportunity with a 4 day in office expectation.Wayfair is continuing to expand our commitment to hiring and supporting talent early in their careers, focusing on filling opportunities with experienced graduates who have 1-3 years of experience.Wayfair is seeking collaborative, innovative, and adaptable candidates for a full-time position as a Drayage Execution Associate within our Operations team. Operations Associates will have the opportunity to gain experience in core functional areas at the center of our logistics and supply chain functions and contribute directly to the growth and success of the company. This is an ideal opportunity for candidates who are looking to join a highly collaborative, cross-functional team, driving forward the future of retail supply chain operations.Drayage Execution AssociateWho We Are:The Drayage Execution team supports Drayage Operations across North America and ensures a smooth experience for our stakeholders. We analyze the root cause of operational complications, and partner with third-parties to ensure containers are delivered as expected in a timely cost-effective manner.As a member of the Drayage Execution Team, you will assist with day to day operations for drayage coordination to and from Supplier or CastleGate fulfillment Centers.You will monitor shipments prior to arrival to ensure the departure and arrival documents are received from Origin Agents and Delivery Orders are dispatched to our Carriers. As well as, post-arrival container monitoring to ensure timely custom clearance with our Broker partners, resolving port holds, and executing payments for accessorial charges. You will also help support the leadership team in identifying operational challenges and helping to drive for creative solutions.What You'll DoHelp minimize the impact of delays that cause financial loss by identifying operational opportunities and pose cost effective solutionsUse problem solving skills to independently resolve issues arising pre-/post-arrival arrival to ensure supplier satisfactionSuggest and support changes to internal processes to improve efficiency and decrease cost exposureCommunicate performance trends and improvement opportunities to management both within and outside your immediate line of reportingWork cross-functionally with a variety of teams across Operations to streamline operational processesMonitor key performance indicators and work collaboratively to improve the quality of our logistics and supply chain operationCreate and deliver communication plans with external partners including suppliers, logistics, Wayfair’s proprietary freight forwarding service (CastleGate Forwarding), and external 3rd party logistics companies (3PL)What You’ll NeedBasic Qualifications:1-3 years of transferable experience in a corporate environment, including internship and co-op experienceAuthorization to work in the United States without visa sponsorship by Wayfair now or in the future.Preferred Qualifications:Excellent written and verbal communication skills, along with the ability to influence othersAnalytical mindset able to process large volumes of data using a variety of reporting tools (Excel, Google Sheets, SQL, etc.)Ability to distill complex information in a simplistic way via emails, charts, graphs, and other forms of presentationsPassionate about execution with strong interest to drive customer engagementDesire to own projects from beginning to end, and thrive as part of a team as well as individuallyComfortability navigating a fast-paced, dynamic environment with little structureStrong project management and prioritization skillsWhy You’ll Love Wayfair:Time Off:Paid HolidaysPaid Time Off (PTO)Health & Wellness:Full Health Benefits (Medical, Dental, Vision, HSA/FSA)Life InsuranceDisability Protection (Short Term & Long Term Disability) Global Wellbeing: Gym/Fitness discounts (including US Peloton, Global ClassPass, and various regional gym memberships)Mental Health Support (Global Mental Health, Global Wayhealthy Recordings)Caregiver ServicesFinancial Growth & Security:401K Matching (Employee Matching Program)Tuition Reimbursement Financial Health Education (Knowledge of Financial Education - KOFE)Tax Advantaged AccountsFamily Support:Family Planning SupportParental LeaveGlobal Surrogacy & Adoption PolicyProfessional Development & Recognition:Rewards & Recognition Global Employee Anniversary Awards Paid Volunteer Work Unique Perks:Employee Discount U.S. Bluebikes MembershipGlobal Pod OutingsWork/Life Balance:Emphasizing a supportive & flexible work environment that encourages a balance between personal and professional commitments Purpose & Inclusion at Wayfair:At Wayfair, we pride ourselves on fostering an environment where every individual experiences a fair and equitable employee journey. We are committed to developing targeted resources that raise awareness around inclusion and eliminate barriers, ensuring Wayfair provides a fair and inclusive workplace experience for everyone.Social Impact & Responsibility:At Wayfair, we focus on helping people on their journey to home - specifically those who have lost their way from home. We do this by leveraging our best assets, such as collaborating with leading nonprofit organizations, coordinating in-kind product donations, empowering our employees to get involved through paid volunteer time off programs, and encouraging our customers to donate. This multi-faceted approach allows us to support communities in need in authentic ways that align with Wayfair's broader mission of helping everyone, anywhere create their sense of home.Wayfair's In-Office Policy:All Boston-based corporate employees will be in office in a hybrid capacity. Employees will work in the office on designated days, Monday, Tuesday, Wednesday, and Thursday, and work remotely the other 1 day of the week.Massachusetts Applicants: I understand that it is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.Assistance For Individuals With DisabilitiesWayfair is fully committed to providing equal opportunities for all individuals, including individuals with disabilities. As part of this commitment, Wayfair will make reasonable accommodations to the known physical or mental limitations of qualified individuals with disabilities, unless doing so would impose an undue hardship on business operations. If you require a reasonable accommodation to participate in the job application or interview process, please let us know by completing our Accommodations for Applicants form.Need Assistance?For more information about applying for a career at Wayfair, visit our FAQ page here.At this time, Wayfair does not provide sponsorship for employment authorization for this position.About Wayfair Inc.Wayfair is one of the world’s largest online destinations for the home. Whether you work in our global headquarters in Boston, or in our warehouses or offices throughout the world, we’re reinventing the way people shop for their homes. Through our commitment to industry-leading technology and creative problem-solving, we are confident that Wayfair will be home to the most rewarding work of your career. If you’re looking for rapid growth, constant learning, and dynamic challenges, then you’ll find that amazing career opportunities are knocking.No matter who you are, Wayfair is a place you can call home. We’re a community of innovators, risk-takers, and trailblazers who celebrate our differences, and know that our unique perspectives make us stronger, smarter, and well-positioned for success. We value and rely on the collective voices of our employees, customers, community, and suppliers to help guide us as we build a better Wayfair – and world – for all. Every voice, every perspective matters. That’s why we’re proud to be an equal opportunity employer. We do not discriminate on the basis of race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, genetic information, or any other legally protected characteristic.Your personal data is processed in accordance with our Candidate Privacy Notice (https://www.wayfair.com/careers/privacy). If you have any questions or wish to exercise your rights under applicable privacy and data protection laws, please contact us at dataprotectionofficer@wayfair.com.
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Associate
          



            Employment type
          

            Full-time
          



              Job function
            

              Administrative
            



              Industries
            

            Retail
            
















Referrals increase your chances of interviewing at Wayfair by 2x

                See who you know"
Surrogates Needed! Start at $55-$75K+ | No Exp Req  Apply Today!,Physician's Surrogacy,"Santa Claus, IN",1 hour ago,,Not Applicable,Full-time,Other,Medical Practices,"Earn up to $75,000 as a stay-at-home mom or as a second job. Sign up today and earn $1,200 bonusWhat qualities make you a great Surrogate?Aged 20.5-39.5 Have given birth before Experienced no complications during your own pregnancy Healthy lifestyle - No drugs or smoking US citizen or a US permanent residentAdvantages Of Our Surrogacy ProgramReceive up to $11,000 before pregnancy begins. Enjoy a $1200 bonus for screenings! Match quickly with intended parents. Ensure complete medical safety. All expenses are covered No experience neededJoin Our Surrogate Referral ProgramTake part in our referral program by referring a friend to become a Surrogate. You'll receive $1000 for every successful referral who passes screening. There's no cap on how many referrals you can make, and everyone is welcome to participate in this program.Support the dreams of hopeful parents and receive up to $75,000+ in bonuses as a SurrogateYou will know immediately if you meet the prequalification requirements. The application takes 5 minutes and a coordinator will contact you as soon as we receive it!RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



            Employment type
          

            Full-time
          



              Job function
            

              Other
            



              Industries
            

            Medical Practices
            
















Referrals increase your chances of interviewing at Physician's Surrogacy by 2x

                See who you know"
Surrogates Needed! Start at $55-$75K+ | No Exp Req  Apply Today!,Physician's Surrogacy,"Notre Dame, IN",1 hour ago,,Not Applicable,Full-time,Other,Medical Practices,"Earn up to $75,000 as a stay-at-home mom or as a second job. Sign up today and earn $1,200 bonusWhat qualities make you a great Surrogate?Aged 20.5-39.5 Have given birth before Experienced no complications during your own pregnancy Healthy lifestyle - No drugs or smoking US citizen or a US permanent residentAdvantages Of Our Surrogacy ProgramReceive up to $11,000 before pregnancy begins. Enjoy a $1200 bonus for screenings! Match quickly with intended parents. Ensure complete medical safety. All expenses are covered No experience neededJoin Our Surrogate Referral ProgramTake part in our referral program by referring a friend to become a Surrogate. You'll receive $1000 for every successful referral who passes screening. There's no cap on how many referrals you can make, and everyone is welcome to participate in this program.Support the dreams of hopeful parents and receive up to $75,000+ in bonuses as a SurrogateYou will know immediately if you meet the prequalification requirements. The application takes 5 minutes and a coordinator will contact you as soon as we receive it!RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



            Employment type
          

            Full-time
          



              Job function
            

              Other
            



              Industries
            

            Medical Practices
            
















Referrals increase your chances of interviewing at Physician's Surrogacy by 2x

                See who you know"
Workday HR Systems Analyst – People Technology (REMOTE),GEICO,"Denver, CO",10 minutes ago,,Mid-Senior level,Full-time,Information Technology,Insurance,"GEICO is seeking an HR Systems Analyst to join our People Technology organization supporting Workday. In this role, you will help build high performing, low maintenance, zero-downtime platforms and applications used by our People Team and associates’ company wide. You will help drive our transformation as we transition from a traditional IT model to a tech organization with engineering excellence as its mission. The ideal candidate candidate brings a great foundation in Workday modules encompassing Recruiting, Compensation, BP workflows and functional Reporting in those areas. Job ResponsibilitiesSupport projects involving major people technology and HR systems built to support GEICO’s needs and strategyDesign, develop, and ensure the maintenance of scalable and reliable software solutions or processesContribute to architectural decisions and provide insights into system improvements Translate HR People Team business needs into technical requirements and actionable software solutions and explain complex technical concepts to non-technical audiencesUnderstand and implement secure design practicesFoster effective collaboration and communication across cross-functional teams to align priorities, share best practices, and ensure smooth coordination for incident response, system maintenance, and upgrades Support the creation of the enterprise level technology roadmap for the Geico People Team and business demandsCandidate Qualifications And SkillsKnowledge of Workday HR systems in the following areas: Recruiting, Compensation, BP Workflows and functional ReportingStrong problem-solving and analytical abilities, with a keen eye for detail and a passion for driving operational efficiency and automationStrong oral and written communication skillsExperience with enterprise-level documentation authoring and designExperience2+ years of experience with HR/People systems (Workday preferred)EducationBachelor’s or equivalent education/work experienceLocation:Home Office, US BasedAnnual Salary$80,000.00 - $160,000.00The above annual salary range is a general guideline. Multiple factors are taken into consideration to arrive at the final hourly rate/ annual salary to be offered to the selected candidate. Factors include, but are not limited to, the scope and responsibilities of the role, the selected candidate’s work experience, education and training, the work location as well as market and business considerations.GEICO will consider sponsoring a new qualified applicant for employment authorization for this position.BenefitsAs an Associate, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:Premier Medical, Dental and Vision Insurance with no waiting period**Paid Vacation, Sick and Parental Leave401(k) PlanTuition AssistancePaid Training and LicensuresBenefits may be different by location. Benefit eligibility requirements vary and may include length of service.Coverage begins on the date of hire. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



            Employment type
          

            Full-time
          



              Job function
            

              Information Technology
            



              Industries
            

            Insurance
            
















Referrals increase your chances of interviewing at GEICO by 2x

                See who you know"
Customer Service Representative,Aire Serv Heating and Air Conditioning®,"Front Royal, VA",1 hour ago,,Mid-Senior level,Full-time,Other,Consumer Services,"We are expanding and looking to add another member to our Team! Due to our rapid growth we are currently looking to bring on an additional Customer Service Representative. This top performing individual will be based out of our Front Royal location, handling all aspects of lead qualification, confirming appointments and closing out jobs as appropriate.As well, this position will require handling incoming and outgoing calls both for sales and service. The CSR position is Tuesday - Friday 11:00 am - 8:00 pm and Saturday 8:00 am - 4:00 pm.As CSR you are a key member of the team and represent Aire Serv on support calls. You are responsible for handling service requests and customer complaints. Exemplifying our code of values by showing respect and courtesy to all customers and employees.You are self-motivated, energetic, and enjoy helping people. You are driven to provide the highest level of customer service and satisfaction and able to effectively manage a variety of situations on a day-to-day basis.Specific ResponsibilitiesReceive incoming calls in professional and courteous mannerScheduling appointmentsAssigning daily work/calls to other team membersPerform marketing and sales functions to sell additional work and earn businessComplete work orders, return customer calls, and respond to customer complaintsMaintain office services by organizing office operations and procedures, preparing and reviewing purchase orders.Perform other duties as needed which may include cross-training in related positionsJob RequirementsMust have HVAC experienceKnowledge of our dispatch software, Service Titan is a plusStrong written and verbal communication skills Detail-oriented with strong data entry skillsPositive AttitudeTeam player who can work independentlyStrong computer knowledge, including Microsoft OfficeTyping skills a plusBenefitsHealth Insurance Company pays 50% of employeeEye and Dental Insurance Paid for by the company. AFLAC Supplemental insurance at employee expense / not required401K / Company Match 3%Paid Holidays 5 per year1 Week Paid VacationShort Term and Long-Term Disability Paid for by company.50K Life Insurance Policy Company provide and paid for.We are actively interviewing for this position - Apply today and our hiring manager will follow up! NO PHONE CALLS, PLEASECompensation: 30,000 +We believe in doing the job right. And part of the job is creating a company worth working for. So when you put on that Aire Serv uniform, you become part of a place that will take care of you the way our franchise owners take care of their own family and friends. Grounded in honesty, integrity, and no surprises. Excellent customer service can't happen without happy, motivated, and committed employees. Which is where you come in. People like you make what the Aire Serv franchise owners do possible and creating a team that shares and exemplifies our values is as important as providing quality service for heating and cooling systems.All independently owned and operated franchised businesses operate under the service brands' marks, trademarks, trade names, logos, emblems, slogans, or other indicia of origin in connection with the Aire Serv franchise system within a specified geographical area. Only the independently owned and operated franchised business shall have any interaction with or authority for its business and make all employment related decisions related to its franchised business.RequiredPreferredJob IndustriesCustomer Service



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



            Employment type
          

            Full-time
          



              Job function
            

              Other
            



              Industries
            

            Consumer Services
            
















Referrals increase your chances of interviewing at Aire Serv Heating and Air Conditioning® by 2x

                See who you know"
Surrogates Needed! Start at $55-$75K+ | No Exp Req  Apply Today!,Physician's Surrogacy,"Mason, OH",1 hour ago,,Not Applicable,Full-time,Other,Medical Practices,"Earn up to $75,000 as a stay-at-home mom or as a second job. Sign up today and earn $1,200 bonusWhat qualities make you a great Surrogate?Aged 20.5-39.5 Have given birth before Experienced no complications during your own pregnancy Healthy lifestyle - No drugs or smoking US citizen or a US permanent residentAdvantages Of Our Surrogacy ProgramReceive up to $11,000 before pregnancy begins. Enjoy a $1200 bonus for screenings! Match quickly with intended parents. Ensure complete medical safety. All expenses are covered No experience neededJoin Our Surrogate Referral ProgramTake part in our referral program by referring a friend to become a Surrogate. You'll receive $1000 for every successful referral who passes screening. There's no cap on how many referrals you can make, and everyone is welcome to participate in this program.Support the dreams of hopeful parents and receive up to $75,000+ in bonuses as a SurrogateYou will know immediately if you meet the prequalification requirements. The application takes 5 minutes and a coordinator will contact you as soon as we receive it!RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



            Employment type
          

            Full-time
          



              Job function
            

              Other
            



              Industries
            

            Medical Practices
            
















Referrals increase your chances of interviewing at Physician's Surrogacy by 2x

                See who you know"
Food Runner,"Olivia AI, Inc. (acquired by Nubank)","Tampa, FL",1 hour ago,,Entry level,Full-time,Management and Manufacturing,"Technology, Information and Internet","DescriptionOLIVIA food runners must deliver food and beverages to the tables in a timely manner. Food Runners must be knowledgeable of the entire food menu.OLIVIA Expo must work in tandem with the front of the house and the back of the house. The expo must ensure that food is being sent to the tables according to the OLIVIA policy.Essential Duties And ResponsibilitiesPositive attitude, Clean appearance, SmileDeliver food and beverage to the table in a timely mannerFull knowledge of food and beverage menuCollaborate with other restaurant servers and kitchen/bar staff (team player)Involve management with any issues and be able to handle adversity.Setting up and closing the expo windowsRequiredPreferredJob IndustriesFood & Restaurant



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Technology, Information and Internet
            
















Referrals increase your chances of interviewing at Olivia AI, Inc. (acquired by Nubank) by 2x

                See who you know"
Intern,Rosendin,"California, United States",28 minutes ago,,Internship,Full-time,Education and Training,Construction,"Whether you’re a recent grad or a seasoned professional, you can experience meaningful career growth at Rosendin. Enjoy a true sense of ownership as you work with a proven industry leader on some of the most exciting and high-profile projects in the nation. We offer a wide range of job opportunities, competitive compensation, full benefits, an Employee Stock Ownership Plan and more.Why Rosendin?Committed. Innovative. Engaged.Come build your experience with us!Rosendin’s Summer Internship Program is a hands-on training program designed to give you a well-rounded experience. You will work alongside passionate mentors solving real-world construction industry challenges in Construction Project Management, Engineering, Procurement, Estimating, Safety and Corporate roles.Our Summer Internship program is a 10-to-12-week paid opportunity. Your internship, at Rosendin, can be the perfect opportunity to expand your knowledge outside of the classroom and apply the concepts and theories of your major field of study. The hands-on real-world experiences that you encounter during our internship program enable you to develop your potential and make key contacts for future networking. Use your internship to determine your interest level in certain career fields, get feedback from professionals regarding your strengths and weaknesses, and to further your education and expand your resume.In mid-June, we invite all our Interns across the country, to spend a week at Rosendin’s Internship Week. Subject matter includes Construction Project Management, Estimating, Engineering, Safety, and more. We will visit live job sites and have team building events to make this a very valuable part of your overall internship experience.Things We Love To See In Our InternsA strong work ethicHolds oneself accountableHonestDriven and takes initiative to get the job doneCustomer focusedPossesses a team spirit and enjoys collaboratingDetail oriented and organizedStrong communication skillsAbout YouYou’re pursuing a degree that aligns with Rosendin’s needs:Construction ManagementEngineering (Architectural Engineering, Electrical, Civil and Construction)Renewable EnergyOccupational Health & SafetyProcurementFinance, Marketing, Accounting or any other related college or work-related experienceInternship BenefitsOn-the-job experience and training in your specific roleOpportunity to work with some of the brightest and most talented people in the industryPaid internshipPotential full-time employment opportunities in any of our locationsA company that supports Diversity, Equity, and Inclusion.Internship Locations: San Jose-CA, Anaheim-CA, Sacramento-CA, Tempe/Phoenix, AZ, Las Vegas-NV, Portland-OR, Austin-TX, Dallas-TX, Temple-TX Sterling-VA, Hanover-MD, Charlotte-NC, Nashville-TN, Boise-ID, Aiea-HI and many more…Rosendin is one of the largest electrical contractors in the United States employing over 7,000 people. We are EMPLOYEE OWNED (ESOP) and have a wonderful reputation for building quality electrical and communications installations, building value for clients, and building people’s careers within the company.Rosendin is committed to creating a diverse environment and is proud to be an Equal Opportunity Employer. Employment decisions are considered regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.Pay Range$21.35-$28.00 HourlyThe pay range for this role is what we expect to pay for candidates that meet the specified qualifications and requirements listed on this job description. Candidate’s pay can vary based on location, job-related experience, skills, and education.Our success is rooted in our people. We all come together around long-term vision and a sense of shared ownership. As a group, we do whatever it takes to ensure the success of our business…and your career.Rosendin Electric is committed to creating a diverse environment and is proud to be an Equal Opportunity Employer. Employment decisions are considered regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Internship
          



            Employment type
          

            Full-time
          



              Job function
            

              Education and Training
            



              Industries
            

            Construction
            
















Referrals increase your chances of interviewing at Rosendin by 2x

                See who you know"
Frito-Lay - Warehouser/Material Handler $16-$35/hr,Frito-Lay,"Northport, AL",1 hour ago,,Entry level,Full-time,Management and Manufacturing,Food and Beverage Services,"No experience requited, hiring immediately, appy now.Work Schedule: 4-5 days per week25 hours per week average Frito-Lay Warehouse/Material Handlers are responsible for a variety of warehouse duties. A key component of PepsiCo's success, Frito-Lay has been making the very best snacks for over 80 years. Classic Lay'sRequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Food and Beverage Services
            
















Referrals increase your chances of interviewing at Frito-Lay by 2x

                See who you know"
